year,month,scope,category,type,value
2023,9,总计,总计,总量,721797.0
2023,9,二轮,二轮,汇总,686634.0
2023,9,二轮,跨骑式,车型,500611.0
2023,9,二轮,弯梁式,车型,86707.0
2023,9,二轮,踏板式,车型,99316.0
2023,9,二轮,50ml<排量≤60ml,排量,0.0
2023,9,二轮,60ml<排量≤70ml,排量,2532.0
2023,9,二轮,70ml<排量≤80ml,排量,115.0
2023,9,二轮,80ml<排量≤90ml,排量,2754.0
2023,9,二轮,90ml<排量≤100ml,排量,15182.0
2023,9,二轮,100ml<排量≤110ml,排量,77999.0
2023,9,二轮,110ml<排量≤125ml,排量,225066.0
2023,9,二轮,125ml<排量≤150ml,排量,223465.0
2023,9,二轮,150ml<排量≤200ml,排量,63815.0
2023,9,二轮,200ml<排量≤250ml,排量,26673.0
2023,9,二轮,250ml<排量≤400ml,排量,13021.0
2023,9,二轮,400ml<排量≤500ml,排量,1648.0
2023,9,二轮,500ml<排量≤800ml,排量,2095.0
2023,9,二轮,排量>800ml,排量,22.0
2023,9,三轮,三轮,汇总,35163.0
2023,9,二轮,250ml<排量≤400ml,排量,333.0
2023,10,总计,总计,总量,690048.0
2023,10,二轮,二轮,汇总,660970.0
2023,10,二轮,跨骑式,车型,484433.0
2023,10,二轮,弯梁式,车型,87705.0
2023,10,二轮,踏板式,车型,88832.0
2023,10,二轮,50ml<排量≤60ml,排量,0.0
2023,10,二轮,60ml<排量≤70ml,排量,2936.0
2023,10,二轮,70ml<排量≤80ml,排量,120.0
2023,10,二轮,80ml<排量≤90ml,排量,3572.0
2023,10,二轮,90ml<排量≤100ml,排量,10060.0
2023,10,二轮,100ml<排量≤110ml,排量,102497.0
2023,10,二轮,110ml<排量≤125ml,排量,207435.0
2023,10,二轮,125ml<排量≤150ml,排量,204879.0
2023,10,二轮,150ml<排量≤200ml,排量,57827.0
2023,10,二轮,200ml<排量≤250ml,排量,29314.0
2023,10,二轮,250ml<排量≤400ml,排量,9404.0
2023,10,二轮,400ml<排量≤500ml,排量,2489.0
2023,10,二轮,500ml<排量≤800ml,排量,2341.0
2023,10,二轮,排量>800ml,排量,0.0
2023,10,三轮,三轮,汇总,29078.0
2023,10,二轮,250ml<排量≤400ml,排量,488.0
2023,11,总计,总计,总量,743073.0
2023,11,二轮,二轮,汇总,700830.0
2023,11,二轮,跨骑式,车型,510698.0
2023,11,二轮,弯梁式,车型,91745.0
2023,11,二轮,踏板式,车型,98387.0
2023,11,二轮,50ml<排量≤60ml,排量,0.0
2023,11,二轮,60ml<排量≤70ml,排量,2350.0
