year,month,amount
2023,9,45143.68
2023,10,41173.99
2023,11,45968.17
2023,12,46838.64
2024,1,57570.23
2024,2,34346.7
2024,3,53446.44
2024,4,58043.39
2024,5,61939.45
2024,6,63018.61
2024,7,60549.89
2024,8,57843.57
2024,9,62654.94
2024,10,55385.32
2024,11,60426.65
2024,12,69980.39
2025,1,65928.05
2025,2,51396.61
2025,3,116839.1
2025,4,77687.41
2025,5,77069.64
2025,6,81163.02
2025,7,76704.32
2025,8,75911.04
2025,9,97583.58
2025,10,68165.25
2025,11,71515.18
2025,12,81909.19
2026,1,87554.09
2026,2,66972.82
2026,3,79149.82
2026,4,91751.21
2026,5,93571.53
2026,6,100109.42
2026,7,102292.94
