year,month,scope,category,type,value
2016,2,二轮,排量≤50ml,排量,49437.0
2016,2,二轮,50ml<排量≤100ml,排量,18833.0
2016,2,二轮,100ml<排量≤125ml,排量,279327.0
2016,2,二轮,125ml<排量≤150ml,排量,102314.0
2016,2,二轮,150ml<排量≤200ml,排量,46894.0
2016,2,二轮,200ml<排量≤250ml,排量,13804.0
2016,2,二轮,250ml<排量≤400ml,排量,907.0
2016,2,二轮,400ml<排量≤500ml,排量,45.0
2016,2,二轮,500ml<排量≤800ml,排量,68.0
2016,2,二轮,排量>800ml,排量,17.0
2016,2,总计,总计,总量,511646.0
2016,3,二轮,排量≤50ml,排量,52409.0
2016,3,二轮,50ml<排量≤100ml,排量,16633.0
2016,3,二轮,100ml<排量≤125ml,排量,366533.0
2016,3,二轮,125ml<排量≤150ml,排量,163757.0
2016,3,二轮,150ml<排量≤200ml,排量,39762.0
2016,3,二轮,200ml<排量≤250ml,排量,8035.0
2016,3,二轮,250ml<排量≤400ml,排量,1078.0
2016,3,二轮,400ml<排量≤500ml,排量,0.0
2016,3,二轮,500ml<排量≤800ml,排量,128.0
2016,3,二轮,排量>800ml,排量,0.0
2016,3,总计,总计,总量,648335.0
2016,4,二轮,排量≤50ml,排量,63645.0
2016,4,二轮,50ml<排量≤100ml,排量,21876.0
2016,4,二轮,100ml<排量≤125ml,排量,384854.0
2016,4,二轮,125ml<排量≤150ml,排量,149514.0
2016,4,二轮,150ml<排量≤200ml,排量,46482.0
2016,4,二轮,200ml<排量≤250ml,排量,8791.0
2016,4,二轮,250ml<排量≤400ml,排量,1704.0
2016,4,二轮,400ml<排量≤500ml,排量,39.0
2016,4,二轮,500ml<排量≤800ml,排量,155.0
2016,4,二轮,排量>800ml,排量,0.0
2016,4,总计,总计,总量,677060.0
2016,5,二轮,排量≤50ml,排量,71631.0
2016,5,二轮,50ml<排量≤100ml,排量,26810.0
2016,5,二轮,100ml<排量≤125ml,排量,386306.0
2016,5,二轮,125ml<排量≤150ml,排量,177581.0
2016,5,二轮,150ml<排量≤200ml,排量,60084.0
2016,5,二轮,200ml<排量≤250ml,排量,15810.0
2016,5,二轮,250ml<排量≤400ml,排量,2966.0
2016,5,二轮,400ml<排量≤500ml,排量,43.0
2016,5,二轮,500ml<排量≤800ml,排量,357.0
2016,5,二轮,排量>800ml,排量,3.0
2016,5,总计,总计,总量,741591.0
2016,6,二轮,排量≤50ml,排量,65785.0
2016,6,二轮,50ml<排量≤100ml,排量,29208.0
2016,6,二轮,100ml<排量≤125ml,排量,389002.0
2016,6,二轮,125ml<排量≤150ml,排量,179245.0
2016,6,二轮,150ml<排量≤200ml,排量,53646.0
2016,6,二轮,200ml<排量≤250ml,排量,14580.0
2016,6,二轮,250ml<排量≤400ml,排量,2107.0
2016,6,二轮,400ml<排量≤500ml,排量,58.0
2016,6,二轮,500ml<排量≤800ml,排量,272.0
2016,6,二轮,排量>800ml,排量,4.0
2016,6,总计,总计,总量,733907.0
2016,7,二轮,排量≤50ml,排量,47262.0
2016,7,二轮,50ml<排量≤100ml,排量,27446.0
2016,7,二轮,100ml<排量≤125ml,排量,387079.0
2016,7,二轮,125ml<排量≤150ml,排量,172930.0
2016,7,二轮,150ml<排量≤200ml,排量,55761.0
2016,7,二轮,200ml<排量≤250ml,排量,13348.0
2016,7,二轮,250ml<排量≤400ml,排量,2094.0
2016,7,二轮,400ml<排量≤500ml,排量,18.0
2016,7,二轮,500ml<排量≤800ml,排量,109.0
2016,7,二轮,排量>800ml,排量,0.0
2016,7,总计,总计,总量,706047.0
2017,8,二轮,排量≤50ml,排量,69667.0
2017,8,二轮,50ml<排量≤100ml,排量,25472.0
2017,8,二轮,100ml<排量≤125ml,排量,396421.0
2017,8,二轮,125ml<排量≤150ml,排量,209702.0
2017,8,二轮,150ml<排量≤200ml,排量,65683.0
2017,8,二轮,200ml<排量≤250ml,排量,19453.0
2017,8,二轮,250ml<排量≤400ml,排量,7118.0
2017,8,二轮,400ml<排量≤500ml,排量,718.0
2017,8,二轮,500ml<排量≤800ml,排量,581.0
2017,8,二轮,排量>800ml,排量,0.0
2017,8,总计,总计,总量,794815.0
2017,9,二轮,排量≤50ml,排量,58735.0
2017,9,二轮,50ml<排量≤100ml,排量,21999.0
2017,9,二轮,100ml<排量≤125ml,排量,381440.0
2017,9,二轮,125ml<排量≤150ml,排量,180297.0
2017,9,二轮,150ml<排量≤200ml,排量,67946.0
2017,9,二轮,200ml<排量≤250ml,排量,20352.0
2017,9,二轮,250ml<排量≤400ml,排量,6330.0
2017,9,二轮,400ml<排量≤500ml,排量,227.0
2017,9,二轮,500ml<排量≤800ml,排量,78.0
2017,9,二轮,排量>800ml,排量,0.0
2017,9,总计,总计,总量,737404.0
2017,10,二轮,排量≤50ml,排量,71956.0
2017,10,二轮,50ml<排量≤100ml,排量,24049.0
