year,month,manufacturer,indicator,value
2023,9,雅迪科技集团有限公司,生产,259001.0
2023,9,江门市大长江集团有限公司,生产,155288.0
2023,9,重庆隆鑫机车有限公司,生产,139380.0
2023,9,宗申产业集团有限公司,生产,113263.0
2023,9,新大洲本田摩托(苏州)有限公司,生产,62709.0
2023,9,洛阳北方企业集团有限公司,生产,66504.0
2023,9,五羊-本田摩托（广州）有限公司,生产,44864.0
2023,9,浙江绿源电动车有限公司,生产,52859.0
2023,9,东莞市台铃车业有限公司,生产,57269.0
2023,9,广东大冶摩托车技术有限公司,生产,51550.0
2023,9,重庆银翔摩托车集团有限公司,生产,38012.0
2023,9,广州大运摩托车有限公司,生产,42148.0
2023,9,济南轻骑铃木摩托车有限公司,生产,35938.0
2023,9,江苏新日电动车股份有限公司,生产,36179.0
2023,9,浙江钱江摩托股份有限公司,生产,29801.0
2023,9,力帆实业（集团）股份有限公司,生产,33606.0
2023,9,广州豪进摩托车股份有限公司,生产,25484.0
2023,9,重庆建设机电有限责任公司,生产,24598.0
2023,9,厦门厦杏摩托有限公司,生产,15591.0
2023,9,重庆航天巴山摩托车制造有限公司,生产,19672.0
2023,9,重庆润通智能装备有限公司,生产,25324.0
2023,9,广州天马集团天马摩托车有限公司,生产,16003.0
2023,9,珠海珠江车业有限公司,生产,15284.0
2023,9,广州三雅摩托车有限公司,生产,15288.0
2023,9,江苏淮海新能源车辆有限公司,生产,16064.0
2023,9,金翌车业有限公司,生产,17207.0
2023,9,雷沃重工股份有限公司,生产,18846.0
2023,9,江苏众星摩托有限公司,生产,13443.0
2023,9,重庆鑫源摩托车股份有限公司,生产,16095.0
2023,9,浙江春风动力股份有限公司,生产,11870.0
2023,9,重庆银钢科技(集团)有限公司,生产,7725.0
2023,9,重庆望江摩托车制造有限公司,生产,9660.0
2023,9,鹤山国机南联摩托车工业有限公司,生产,15049.0
2023,9,常州光阳摩托车有限公司,生产,4633.0
2023,9,宁波市龙嘉动力科技有限公司,生产,8099.0
2023,9,济南大隆机车工业有限公司,生产,11603.0
2023,9,浙江嘉爵摩托车制造有限公司,生产,2460.0
2023,9,山东巴士新能源车业有限公司,生产,11518.0
2023,9,广东星际机车科技有限公司,生产,8217.0
2023,9,重庆嘉陵工业有限公司,生产,10358.0
2023,9,重庆安第斯摩托车制造有限公司,生产,8148.0
2023,9,江门市长华集团有限公司,生产,10927.0
2023,9,江门市华龙摩托车有限公司,生产,8784.0
2023,9,长铃集团长春摩托车工业有限公司,生产,6281.0
2023,9,台州市王野机车有限责任公司,生产,10086.0
2023,9,重庆万虎机电有限责任公司,生产,6690.0
2023,9,浙江天本车业有限公司,生产,7089.0
2023,9,三友控股集团银友摩托车有限公司,生产,5911.0
2023,9,康超集团广州摩托车制造有限公司,生产,4296.0
2023,9,宁波市龙嘉摩托车有限公司,生产,5210.0
2023,9,浙江森铃摩托车有限公司,生产,3682.0
2023,9,杭州土星动力科技有限公司,生产,5875.0
2023,9,济南轻骑摩托车有限公司,生产,5619.0
2023,9,重庆光宇摩托车制造有限公司,生产,6581.0
2023,9,台州市椒江之威摩托车制造有限公司,生产,4627.0
2023,9,西藏新珠峰摩托车有限公司,生产,3365.0
2023,9,广州福羊科技有限公司,生产,6439.0
2023,9,宁波东方凌云车辆制造有限公司,生产,3346.0
2023,9,江门市迪豪摩托车有限公司,生产,4368.0
2023,9,广东嘉纳仕科技实业有限公司,生产,0.0
2023,9,宝岛车业集团有限公司,生产,4366.0
2023,9,慈溪金轮机车制造有限公司,生产,2948.0
2023,9,增城市东阳摩托车实业有限公司,生产,2836.0
2023,9,广州五羊摩托有限公司,生产,2795.0
2023,9,重庆新感觉摩托车有限公司,生产,2272.0
2023,9,金城集团有限公司,生产,1597.0
2023,9,佛山市佛斯弟摩托车制造有限公司,生产,2342.0
2023,9,浙江吉铭实业有限公司,生产,1357.0
2023,9,江苏林海动力机械集团有限公司,生产,1137.0
2023,9,重庆劲扬摩托车工业有限公司,生产,2427.0
2023,9,江苏创新摩托车制造有限公司,生产,1400.0
2023,9,浙江幸福摩托机械有限公司,生产,2321.0
2023,9,洛阳盛江红强摩托车有限公司,生产,347.0
2023,9,江苏林芝山阳集团有限公司,生产,1723.0
2023,9,广东大福摩托车有限公司,生产,0.0
2023,9,广东大联统摩托车有限公司,生产,551.0
2023,9,重庆恒胜集团有限公司,生产,992.0
2023,9,广州番禺豪剑摩托车工业有限公司,生产,1014.0
2023,9,江苏新陵摩托车制造有限公司,生产,183.0
2023,9,福建省晋江市三力机车有限公司,生产,100.0
2023,9,浙江日雅摩托车有限公司,生产,461.0
2023,9,重庆双庆产业集团有限公司,生产,276.0
2023,9,山东马拉贝斯车业有限公司,生产,478.0
2023,9,上海本菱摩托车制造有限公司,生产,199.0
2023,9,立峰集团有限公司,生产,328.0
2023,9,浙江黄岩三叶集团有限公司,生产,159.0
2023,9,江苏雄风机车有限公司,生产,0.0
2023,9,江苏跃进摩托车制造有限责任公司,生产,92.0
2023,9,增城市奔马实业有限公司,生产,0.0
2023,9,雅迪科技集团有限公司,销售,236952.0
2023,9,江门市大长江集团有限公司,销售,163939.0
2023,9,重庆隆鑫机车有限公司,销售,139321.0
2023,9,宗申产业集团有限公司,销售,112338.0
2023,9,新大洲本田摩托(苏州)有限公司,销售,66920.0
2023,9,洛阳北方企业集团有限公司,销售,67589.0
2023,9,浙江绿源电动车有限公司,销售,52753.0
2023,9,五羊-本田摩托（广州）有限公司,销售,54288.0
2023,9,东莞市台铃车业有限公司,销售,61467.0
2023,9,广东大冶摩托车技术有限公司,销售,48634.0
2023,9,重庆银翔摩托车集团有限公司,销售,38012.0
2023,9,广州大运摩托车有限公司,销售,42496.0
2023,9,济南轻骑铃木摩托车有限公司,销售,31757.0
2023,9,力帆实业（集团）股份有限公司,销售,36315.0
2023,9,江苏新日电动车股份有限公司,销售,36034.0
2023,9,浙江钱江摩托股份有限公司,销售,29453.0
2023,9,广州豪进摩托车股份有限公司,销售,29437.0
2023,9,重庆建设机电有限责任公司,销售,23311.0
2023,9,厦门厦杏摩托有限公司,销售,16704.0
2023,9,重庆航天巴山摩托车制造有限公司,销售,19575.0
2023,9,重庆润通智能装备有限公司,销售,25348.0
2023,9,广州天马集团天马摩托车有限公司,销售,11928.0
2023,9,珠海珠江车业有限公司,销售,16259.0
2023,9,广州三雅摩托车有限公司,销售,15303.0
2023,9,江苏淮海新能源车辆有限公司,销售,16064.0
2023,9,金翌车业有限公司,销售,17336.0
2023,9,浙江春风动力股份有限公司,销售,14352.0
2023,9,江苏众星摩托有限公司,销售,13401.0
2023,9,雷沃重工股份有限公司,销售,15921.0
2023,9,重庆鑫源摩托车股份有限公司,销售,17085.0
2023,9,重庆银钢科技(集团)有限公司,销售,7636.0
2023,9,重庆望江摩托车制造有限公司,销售,9180.0
2023,9,常州光阳摩托车有限公司,销售,4703.0
2023,9,鹤山国机南联摩托车工业有限公司,销售,15035.0
2023,9,济南大隆机车工业有限公司,销售,11546.0
2023,9,浙江嘉爵摩托车制造有限公司,销售,2460.0
2023,9,山东巴士新能源车业有限公司,销售,12081.0
2023,9,广东星际机车科技有限公司,销售,8217.0
2023,9,重庆安第斯摩托车制造有限公司,销售,6705.0
2023,9,宁波市龙嘉动力科技有限公司,销售,7645.0
2023,9,重庆嘉陵工业有限公司,销售,9621.0
2023,9,江门市长华集团有限公司,销售,10927.0
2023,9,长铃集团长春摩托车工业有限公司,销售,6281.0
2023,9,江门市华龙摩托车有限公司,销售,7689.0
2023,9,台州市王野机车有限责任公司,销售,10086.0
2023,9,重庆万虎机电有限责任公司,销售,7187.0
2023,9,浙江天本车业有限公司,销售,7089.0
2023,9,三友控股集团银友摩托车有限公司,销售,5911.0
2023,9,康超集团广州摩托车制造有限公司,销售,4296.0
2023,9,宁波市龙嘉摩托车有限公司,销售,4077.0
2023,9,杭州土星动力科技有限公司,销售,6684.0
2023,9,浙江森铃摩托车有限公司,销售,4437.0
2023,9,济南轻骑摩托车有限公司,销售,5913.0
2023,9,重庆光宇摩托车制造有限公司,销售,6581.0
2023,9,台州市椒江之威摩托车制造有限公司,销售,4567.0
2023,9,西藏新珠峰摩托车有限公司,销售,3365.0
2023,9,广州福羊科技有限公司,销售,6439.0
2023,9,江门市迪豪摩托车有限公司,销售,4508.0
2023,9,宁波东方凌云车辆制造有限公司,销售,3579.0
2023,9,广东嘉纳仕科技实业有限公司,销售,0.0
2023,9,宝岛车业集团有限公司,销售,4366.0
2023,9,慈溪金轮机车制造有限公司,销售,2949.0
2023,9,广州五羊摩托有限公司,销售,3039.0
2023,9,增城市东阳摩托车实业有限公司,销售,2084.0
2023,9,重庆新感觉摩托车有限公司,销售,3508.0
2023,9,金城集团有限公司,销售,1841.0
2023,9,佛山市佛斯弟摩托车制造有限公司,销售,2342.0
2023,9,浙江吉铭实业有限公司,销售,1831.0
2023,9,江苏林海动力机械集团有限公司,销售,938.0
2023,9,重庆劲扬摩托车工业有限公司,销售,2427.0
2023,9,江苏创新摩托车制造有限公司,销售,1537.0
2023,9,浙江幸福摩托机械有限公司,销售,2329.0
2023,9,洛阳盛江红强摩托车有限公司,销售,347.0
2023,9,江苏林芝山阳集团有限公司,销售,1723.0
2023,9,广东大福摩托车有限公司,销售,0.0
2023,9,广东大联统摩托车有限公司,销售,551.0
2023,9,重庆恒胜集团有限公司,销售,992.0
2023,9,广州番禺豪剑摩托车工业有限公司,销售,1014.0
2023,9,江苏新陵摩托车制造有限公司,销售,183.0
2023,9,福建省晋江市三力机车有限公司,销售,100.0
2023,9,浙江日雅摩托车有限公司,销售,1089.0
2023,9,重庆双庆产业集团有限公司,销售,276.0
2023,9,山东马拉贝斯车业有限公司,销售,478.0
2023,9,上海本菱摩托车制造有限公司,销售,199.0
2023,9,立峰集团有限公司,销售,328.0
2023,9,浙江黄岩三叶集团有限公司,销售,170.0
2023,9,江苏雄风机车有限公司,销售,0.0
2023,9,江苏跃进摩托车制造有限责任公司,销售,92.0
2023,9,增城市奔马实业有限公司,销售,0.0
2023,10,雅迪科技集团有限公司,生产,142598.0
2023,10,江门市大长江集团有限公司,生产,143788.0
2023,10,重庆隆鑫机车有限公司,生产,136965.0
2023,10,宗申产业集团有限公司,生产,118480.0
2023,10,新大洲本田摩托(苏州)有限公司,生产,55335.0
2023,10,洛阳北方企业集团有限公司,生产,52212.0
2023,10,五羊-本田摩托（广州）有限公司,生产,33845.0
2023,10,浙江绿源电动车有限公司,生产,32176.0
2023,10,东莞市台铃车业有限公司,生产,52382.0
2023,10,广东大冶摩托车技术有限公司,生产,55950.0
2023,10,重庆银翔摩托车集团有限公司,生产,45569.0
2023,10,广州大运摩托车有限公司,生产,41104.0
2023,10,济南轻骑铃木摩托车有限公司,生产,28477.0
2023,10,浙江钱江摩托股份有限公司,生产,35629.0
2023,10,江苏新日电动车股份有限公司,生产,18902.0
2023,10,力帆实业（集团）股份有限公司,生产,24899.0
2023,10,广州豪进摩托车股份有限公司,生产,25740.0
2023,10,重庆建设机电有限责任公司,生产,21518.0
2023,10,厦门厦杏摩托有限公司,生产,12598.0
2023,10,重庆航天巴山摩托车制造有限公司,生产,13944.0
2023,10,重庆润通智能装备有限公司,生产,22021.0
2023,10,广州天马集团天马摩托车有限公司,生产,13743.0
2023,10,珠海珠江车业有限公司,生产,16700.0
2023,10,江苏淮海新能源车辆有限公司,生产,16701.0
2023,10,广州三雅摩托车有限公司,生产,13856.0
2023,10,金翌车业有限公司,生产,11005.0
2023,10,山东五星车辆股份有限公司,生产,12671.0
2023,10,江苏众星摩托有限公司,生产,13720.0
2023,10,重庆鑫源摩托车股份有限公司,生产,13058.0
2023,10,浙江春风动力股份有限公司,生产,10934.0
2023,10,重庆银钢科技(集团)有限公司,生产,9856.0
2023,10,重庆望江摩托车制造有限公司,生产,6260.0
2023,10,济南大隆机车工业有限公司,生产,10362.0
2023,10,山东巴士新能源车业有限公司,生产,15434.0
2023,10,鹤山国机南联摩托车工业有限公司,生产,5580.0
2023,10,宁波市龙嘉动力科技有限公司,生产,6412.0
2023,10,常州光阳摩托车有限公司,生产,4432.0
2023,10,浙江嘉爵摩托车制造有限公司,生产,5928.0
2023,10,重庆嘉陵工业有限公司,生产,9910.0
2023,10,广东星际机车科技有限公司,生产,8355.0
2023,10,重庆安第斯摩托车制造有限公司,生产,5500.0
2023,10,江门市长华集团有限公司,生产,4847.0
2023,10,江门市华龙摩托车有限公司,生产,6867.0
2023,10,长铃集团长春摩托车工业有限公司,生产,5842.0
2023,10,台州市王野机车有限责任公司,生产,10893.0
2023,10,重庆万虎机电有限责任公司,生产,5323.0
2023,10,浙江天本车业有限公司,生产,6624.0
2023,10,三友控股集团银友摩托车有限公司,生产,5505.0
2023,10,康超集团广州摩托车制造有限公司,生产,3829.0
2023,10,杭州土星动力科技有限公司,生产,6391.0
2023,10,宁波市龙嘉摩托车有限公司,生产,4750.0
2023,10,浙江森铃摩托车有限公司,生产,5123.0
2023,10,济南轻骑摩托车有限公司,生产,4729.0
2023,10,重庆光宇摩托车制造有限公司,生产,3556.0
2023,10,台州市椒江之威摩托车制造有限公司,生产,4275.0
2023,10,西藏新珠峰摩托车有限公司,生产,3785.0
2023,10,广州福羊科技有限公司,生产,3303.0
2023,10,宁波东方凌云车辆制造有限公司,生产,3657.0
2023,10,江门市迪豪摩托车有限公司,生产,2217.0
2023,10,宝岛车业集团有限公司,生产,5139.0
2023,10,广东嘉纳仕科技实业有限公司,生产,0.0
2023,10,慈溪金轮机车制造有限公司,生产,2357.0
2023,10,重庆新感觉摩托车有限公司,生产,3753.0
2023,10,增城市东阳摩托车实业有限公司,生产,2100.0
2023,10,广州五羊摩托有限公司,生产,2395.0
2023,10,浙江吉铭实业有限公司,生产,3784.0
2023,10,佛山市佛斯弟摩托车制造有限公司,生产,2918.0
2023,10,金城集团有限公司,生产,1002.0
2023,10,江苏林海动力机械集团有限公司,生产,3392.0
2023,10,重庆劲扬摩托车工业有限公司,生产,1751.0
2023,10,浙江幸福摩托机械有限公司,生产,2456.0
2023,10,江苏创新摩托车制造有限公司,生产,1550.0
2023,10,江苏林芝山阳集团有限公司,生产,1032.0
2023,10,洛阳盛江红强摩托车有限公司,生产,272.0
2023,10,广东大福摩托车有限公司,生产,0.0
2023,10,重庆恒胜集团有限公司,生产,797.0
2023,10,广东大联统摩托车有限公司,生产,351.0
2023,10,广州番禺豪剑摩托车工业有限公司,生产,1014.0
2023,10,江苏新陵摩托车制造有限公司,生产,163.0
2023,10,福建省晋江市三力机车有限公司,生产,790.0
2023,10,浙江日雅摩托车有限公司,生产,515.0
2023,10,山东马拉贝斯车业有限公司,生产,316.0
2023,10,重庆双庆产业集团有限公司,生产,215.0
2023,10,上海本菱摩托车制造有限公司,生产,474.0
2023,10,立峰集团有限公司,生产,254.0
2023,10,江苏雄风机车有限公司,生产,162.0
2023,10,浙江黄岩三叶集团有限公司,生产,99.0
2023,10,江苏跃进摩托车制造有限责任公司,生产,220.0
2023,10,增城市奔马实业有限公司,生产,0.0
2023,10,雅迪科技集团有限公司,销售,123298.0
2023,10,江门市大长江集团有限公司,销售,146898.0
2023,10,重庆隆鑫机车有限公司,销售,143782.0
2023,10,宗申产业集团有限公司,销售,122379.0
2023,10,新大洲本田摩托(苏州)有限公司,销售,59477.0
2023,10,洛阳北方企业集团有限公司,销售,52254.0
2023,10,五羊-本田摩托（广州）有限公司,销售,49253.0
2023,10,浙江绿源电动车有限公司,销售,31511.0
2023,10,东莞市台铃车业有限公司,销售,58514.0
2023,10,广东大冶摩托车技术有限公司,销售,53562.0
2023,10,重庆银翔摩托车集团有限公司,销售,45570.0
2023,10,广州大运摩托车有限公司,销售,40344.0
2023,10,济南轻骑铃木摩托车有限公司,销售,27804.0
2023,10,力帆实业（集团）股份有限公司,销售,29606.0
2023,10,浙江钱江摩托股份有限公司,销售,37127.0
2023,10,江苏新日电动车股份有限公司,销售,17932.0
2023,10,广州豪进摩托车股份有限公司,销售,19856.0
2023,10,重庆建设机电有限责任公司,销售,22917.0
2023,10,厦门厦杏摩托有限公司,销售,13638.0
2023,10,重庆航天巴山摩托车制造有限公司,销售,13979.0
2023,10,重庆润通智能装备有限公司,销售,21182.0
2023,10,广州天马集团天马摩托车有限公司,销售,15198.0
2023,10,珠海珠江车业有限公司,销售,17183.0
2023,10,江苏淮海新能源车辆有限公司,销售,16701.0
2023,10,广州三雅摩托车有限公司,销售,13976.0
2023,10,金翌车业有限公司,销售,11239.0
