year,month,manufacturer,scope,category,indicator,value
2023,9,三友控股集团银友摩托车有限公司,二轮,110ml<排量≤125ml,生产,3861.0
2023,9,三友控股集团银友摩托车有限公司,二轮,110ml<排量≤125ml,销售,3861.0
2023,9,三友控股集团银友摩托车有限公司,二轮,125ml<排量≤150ml,生产,1972.0
2023,9,三友控股集团银友摩托车有限公司,二轮,125ml<排量≤150ml,销售,1972.0
2023,9,三友控股集团银友摩托车有限公司,二轮,排量≤50ml,生产,78.0
2023,9,三友控股集团银友摩托车有限公司,二轮,排量≤50ml,销售,78.0
2023,9,上海本菱摩托车制造有限公司,二轮,100ml<排量≤110ml,生产,12.0
2023,9,上海本菱摩托车制造有限公司,二轮,100ml<排量≤110ml,销售,12.0
2023,9,上海本菱摩托车制造有限公司,二轮,110ml<排量≤125ml,生产,179.0
2023,9,上海本菱摩托车制造有限公司,二轮,110ml<排量≤125ml,销售,179.0
2023,9,上海本菱摩托车制造有限公司,二轮,90ml<排量≤100ml,生产,8.0
2023,9,上海本菱摩托车制造有限公司,二轮,90ml<排量≤100ml,销售,8.0
2023,9,东莞市台铃车业有限公司,电动,电动摩托车,生产,57269.0
2023,9,东莞市台铃车业有限公司,电动,电动摩托车,销售,61467.0
2023,9,五羊-本田摩托（广州）有限公司,三轮,100ml<排量≤150ml,生产,2360.0
2023,9,五羊-本田摩托（广州）有限公司,三轮,100ml<排量≤150ml,销售,2360.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,100ml<排量≤110ml,生产,3100.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,100ml<排量≤110ml,销售,7301.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,110ml<排量≤125ml,生产,27061.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,110ml<排量≤125ml,销售,28887.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,125ml<排量≤150ml,生产,5660.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,125ml<排量≤150ml,销售,8650.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,150ml<排量≤200ml,生产,4401.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,150ml<排量≤200ml,销售,2350.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,250ml<排量≤400ml,销售,814.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,90ml<排量≤100ml,生产,530.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,90ml<排量≤100ml,销售,2091.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,排量≤50ml,生产,192.0
2023,9,五羊-本田摩托（广州）有限公司,二轮,排量≤50ml,销售,192.0
2023,9,五羊-本田摩托（广州）有限公司,电动,电动摩托车,生产,1560.0
2023,9,五羊-本田摩托（广州）有限公司,电动,电动摩托车,销售,1643.0
2023,9,佛山市佛斯弟摩托车制造有限公司,二轮,125ml<排量≤150ml,生产,2342.0
2023,9,佛山市佛斯弟摩托车制造有限公司,二轮,125ml<排量≤150ml,销售,2342.0
