year,month,indicator,scope,category,type,value
2023,9,生产,总计,总计,汇总,1710487.0
2023,9,生产,二轮,跨骑式,车型,664592.0
2023,9,生产,二轮,弯梁式,车型,130345.0
2023,9,生产,二轮,踏板式,车型,695922.0
2023,9,生产,二轮,其它式,车型,0.0
2023,9,生产,二轮,排量≤50ml,排量,56583.0
2023,9,生产,二轮,50ml<排量≤60ml,排量,0.0
2023,9,生产,二轮,60ml<排量≤70ml,排量,3283.0
2023,9,生产,二轮,70ml<排量≤80ml,排量,495.0
2023,9,生产,二轮,80ml<排量≤90ml,排量,3803.0
2023,9,生产,二轮,90ml<排量≤100ml,排量,22212.0
2023,9,生产,二轮,100ml<排量≤110ml,排量,110668.0
2023,9,生产,二轮,110ml<排量≤125ml,排量,420541.0
2023,9,生产,二轮,125ml<排量≤150ml,排量,313773.0
2023,9,生产,二轮,150ml<排量≤200ml,排量,73728.0
2023,9,生产,二轮,200ml<排量≤250ml,排量,34392.0
2023,9,生产,二轮,250ml<排量≤400ml,排量,23910.0
2023,9,生产,二轮,400ml<排量≤500ml,排量,16204.0
2023,9,生产,二轮,500ml<排量≤800ml,排量,4193.0
2023,9,生产,二轮,排量>800ml,排量,52.0
2023,9,生产,二轮,电动摩托车,排量,407022.0
2023,9,生产,三轮,正三轮,车型,219571.0
2023,9,生产,三轮,边三轮,车型,57.0
2023,9,生产,二轮,排量≤50ml,排量,55.0
2023,9,生产,三轮,50ml<排量≤100ml,排量,0.0
2023,9,生产,三轮,100ml<排量≤150ml,排量,76451.0
2023,9,生产,三轮,150ml<排量≤250ml,排量,40708.0
2023,9,生产,二轮,250ml<排量≤400ml,排量,553.0
2023,9,生产,三轮,400ml<排量≤750ml,排量,427.0
2023,9,生产,三轮,排量>750ml,排量,44.0
2023,9,生产,二轮,电动摩托车,排量,101390.0
2023,9,销售,总计,总计,汇总,1711470.0
2023,9,销售,二轮,跨骑式,车型,674163.0
2023,9,销售,二轮,弯梁式,车型,127205.0
2023,9,销售,二轮,踏板式,车型,694372.0
2023,9,销售,二轮,其它式,车型,0.0
2023,9,销售,二轮,排量≤50ml,排量,54940.0
2023,9,销售,二轮,50ml<排量≤60ml,排量,0.0
2023,9,销售,二轮,60ml<排量≤70ml,排量,3073.0
2023,9,销售,二轮,70ml<排量≤80ml,排量,499.0
2023,9,销售,二轮,80ml<排量≤90ml,排量,3804.0
2023,9,销售,二轮,90ml<排量≤100ml,排量,24460.0
2023,9,销售,二轮,100ml<排量≤110ml,排量,111091.0
2023,9,销售,二轮,110ml<排量≤125ml,排量,432181.0
2023,9,销售,二轮,125ml<排量≤150ml,排量,313122.0
2023,9,销售,二轮,150ml<排量≤200ml,排量,75749.0
2023,9,销售,二轮,200ml<排量≤250ml,排量,37156.0
2023,9,销售,二轮,250ml<排量≤400ml,排量,28062.0
2023,9,销售,二轮,400ml<排量≤500ml,排量,17244.0
2023,9,销售,二轮,500ml<排量≤800ml,排量,4790.0
2023,9,销售,二轮,排量>800ml,排量,92.0
2023,9,销售,二轮,电动摩托车,排量,389477.0
2023,9,销售,三轮,正三轮,车型,215646.0
2023,9,销售,三轮,边三轮,车型,84.0
2023,9,销售,二轮,排量≤50ml,排量,55.0
2023,9,销售,三轮,50ml<排量≤100ml,排量,0.0
2023,9,销售,三轮,100ml<排量≤150ml,排量,76272.0
2023,9,销售,三轮,150ml<排量≤250ml,排量,38462.0
2023,9,销售,二轮,250ml<排量≤400ml,排量,401.0
2023,9,销售,三轮,400ml<排量≤750ml,排量,451.0
2023,9,销售,三轮,排量>750ml,排量,42.0
2023,9,销售,二轮,电动摩托车,排量,100047.0
2023,10,生产,总计,总计,汇总,1455336.0
2023,10,生产,二轮,跨骑式,车型,619659.0
2023,10,生产,二轮,弯梁式,车型,121330.0
2023,10,生产,二轮,踏板式,车型,493506.0
2023,10,生产,二轮,其它式,车型,0.0
2023,10,生产,二轮,排量≤50ml,排量,38959.0
2023,10,生产,二轮,50ml<排量≤60ml,排量,672.0
2023,10,生产,二轮,60ml<排量≤70ml,排量,3121.0
2023,10,生产,二轮,70ml<排量≤80ml,排量,540.0
2023,10,生产,二轮,80ml<排量≤90ml,排量,4187.0
2023,10,生产,二轮,90ml<排量≤100ml,排量,19898.0
2023,10,生产,二轮,100ml<排量≤110ml,排量,127823.0
