year,month,indicator,scope,category,type,value
2016,2,生产,三轮,125ml<排量≤150ml,排量,65386.0
2016,2,生产,三轮,150ml<排量≤250ml,排量,41648.0
2016,2,生产,三轮,250ml<排量≤400ml,排量,165.0
2016,2,生产,三轮,400ml<排量≤750ml,排量,616.0
2016,2,生产,三轮,50ml<排量≤100ml,排量,6002.0
2016,2,生产,三轮,排量>750ml,排量,329.0
2016,2,生产,三轮,排量≤50ml,排量,0.0
2016,2,生产,三轮,电动摩托车,排量,0.0
2016,2,生产,三轮,三轮,汇总,114146.0
2016,2,生产,三轮,正三轮,车型,114126.0
2016,2,生产,三轮,边三轮,车型,20.0
2016,2,生产,二轮,100ml<排量≤110ml,排量,166907.0
2016,2,生产,二轮,110ml<排量≤125ml,排量,343831.0
2016,2,生产,二轮,125ml<排量≤150ml,排量,184252.0
2016,2,生产,二轮,150ml<排量≤250ml,排量,42178.0
2016,2,生产,二轮,250ml<排量≤400ml,排量,667.0
2016,2,生产,二轮,400ml<排量≤750ml,排量,120.0
2016,2,生产,二轮,50ml<排量≤60ml,排量,0.0
2016,2,生产,二轮,60ml<排量≤70ml,排量,7683.0
2016,2,生产,二轮,70ml<排量≤80ml,排量,1278.0
2016,2,生产,二轮,80ml<排量≤90ml,排量,4487.0
2016,2,生产,二轮,90ml<排量≤100ml,排量,51296.0
2016,2,生产,二轮,排量>750ml,排量,0.0
2016,2,生产,二轮,排量≤50ml,排量,47125.0
2016,2,生产,二轮,电动摩托车,排量,2472.0
2016,2,生产,二轮,二轮,汇总,852296.0
2016,2,生产,二轮,其它式,车型,0.0
2016,2,生产,二轮,弯梁式,车型,168385.0
2016,2,生产,二轮,踏板式,车型,171019.0
2016,2,生产,二轮,骑式式,车型,512892.0
2016,2,生产,总计,总计,汇总,966442.0
2016,2,销售,三轮,125ml<排量≤150ml,排量,63148.0
2016,2,销售,三轮,150ml<排量≤250ml,排量,40295.0
2016,2,销售,三轮,250ml<排量≤400ml,排量,147.0
2016,2,销售,三轮,400ml<排量≤750ml,排量,626.0
2016,2,销售,三轮,50ml<排量≤100ml,排量,5966.0
2016,2,销售,三轮,排量>750ml,排量,357.0
2016,2,销售,三轮,排量≤50ml,排量,0.0
2016,2,销售,三轮,电动摩托车,排量,0.0
2016,2,销售,三轮,三轮,汇总,110539.0
2016,2,销售,三轮,正三轮,车型,110506.0
2016,2,销售,三轮,边三轮,车型,33.0
2016,2,销售,二轮,100ml<排量≤110ml,排量,175957.0
2016,2,销售,二轮,110ml<排量≤125ml,排量,367594.0
2016,2,销售,二轮,125ml<排量≤150ml,排量,195040.0
2016,2,销售,二轮,150ml<排量≤250ml,排量,41835.0
2016,2,销售,二轮,250ml<排量≤400ml,排量,761.0
2016,2,销售,二轮,400ml<排量≤750ml,排量,180.0
2016,2,销售,二轮,50ml<排量≤60ml,排量,0.0
2016,2,销售,二轮,60ml<排量≤70ml,排量,7657.0
2016,2,销售,二轮,70ml<排量≤80ml,排量,1280.0
2016,2,销售,二轮,80ml<排量≤90ml,排量,4290.0
2016,2,销售,二轮,90ml<排量≤100ml,排量,50992.0
2016,2,销售,二轮,排量>750ml,排量,0.0
2016,2,销售,二轮,排量≤50ml,排量,49005.0
2016,2,销售,二轮,电动摩托车,排量,2464.0
2016,2,销售,二轮,二轮,汇总,897055.0
2016,2,销售,二轮,其它式,车型,0.0
2016,2,销售,二轮,弯梁式,车型,179406.0
2016,2,销售,二轮,踏板式,车型,180589.0
2016,2,销售,二轮,骑式式,车型,537060.0
2016,2,销售,总计,总计,汇总,1007594.0
2016,3,生产,三轮,125ml<排量≤150ml,排量,78161.0
2016,3,生产,三轮,150ml<排量≤250ml,排量,90790.0
2016,3,生产,三轮,250ml<排量≤400ml,排量,1201.0
2016,3,生产,三轮,400ml<排量≤750ml,排量,1394.0
2016,3,生产,三轮,50ml<排量≤100ml,排量,6403.0
2016,3,生产,三轮,排量>750ml,排量,652.0
2016,3,生产,三轮,排量≤50ml,排量,0.0
2016,3,生产,三轮,电动摩托车,排量,0.0
2016,3,生产,三轮,三轮,汇总,178601.0
2016,3,生产,三轮,正三轮,车型,178547.0
2016,3,生产,三轮,边三轮,车型,54.0
2016,3,生产,二轮,100ml<排量≤110ml,排量,249549.0
2016,3,生产,二轮,110ml<排量≤125ml,排量,524021.0
2016,3,生产,二轮,125ml<排量≤150ml,排量,298325.0
2016,3,生产,二轮,150ml<排量≤250ml,排量,64849.0
2016,3,生产,二轮,250ml<排量≤400ml,排量,2083.0
2016,3,生产,二轮,400ml<排量≤750ml,排量,242.0
2016,3,生产,二轮,50ml<排量≤60ml,排量,0.0
2016,3,生产,二轮,60ml<排量≤70ml,排量,7003.0
2016,3,生产,二轮,70ml<排量≤80ml,排量,891.0
2016,3,生产,二轮,80ml<排量≤90ml,排量,3148.0
2016,3,生产,二轮,90ml<排量≤100ml,排量,80264.0
2016,3,生产,二轮,排量>750ml,排量,0.0
2016,3,生产,二轮,排量≤50ml,排量,67963.0
2016,3,生产,二轮,电动摩托车,排量,8282.0
2016,3,生产,二轮,二轮,汇总,1306620.0
2016,3,生产,二轮,其它式,车型,0.0
2016,3,生产,二轮,弯梁式,车型,240138.0
2016,3,生产,二轮,踏板式,车型,285283.0
2016,3,生产,二轮,骑式式,车型,781199.0
2016,3,生产,总计,总计,汇总,1485221.0
2016,3,销售,三轮,125ml<排量≤150ml,排量,79009.0
2016,3,销售,三轮,150ml<排量≤250ml,排量,90396.0
2016,3,销售,三轮,250ml<排量≤400ml,排量,1201.0
2016,3,销售,三轮,400ml<排量≤750ml,排量,1352.0
2016,3,销售,三轮,50ml<排量≤100ml,排量,6321.0
2016,3,销售,三轮,排量>750ml,排量,892.0
2016,3,销售,三轮,排量≤50ml,排量,0.0
2016,3,销售,三轮,电动摩托车,排量,0.0
2016,3,销售,三轮,三轮,汇总,179171.0
2016,3,销售,三轮,正三轮,车型,179100.0
2016,3,销售,三轮,边三轮,车型,71.0
2016,3,销售,二轮,100ml<排量≤110ml,排量,263864.0
2016,3,销售,二轮,110ml<排量≤125ml,排量,512123.0
2016,3,销售,二轮,125ml<排量≤150ml,排量,297466.0
2016,3,销售,二轮,150ml<排量≤250ml,排量,64346.0
2016,3,销售,二轮,250ml<排量≤400ml,排量,2332.0
2016,3,销售,二轮,400ml<排量≤750ml,排量,228.0
2016,3,销售,二轮,50ml<排量≤60ml,排量,0.0
2016,3,销售,二轮,60ml<排量≤70ml,排量,6652.0
2016,3,销售,二轮,70ml<排量≤80ml,排量,884.0
2016,3,销售,二轮,80ml<排量≤90ml,排量,4062.0
2016,3,销售,二轮,90ml<排量≤100ml,排量,75452.0
2016,3,销售,二轮,排量>750ml,排量,0.0
2016,3,销售,二轮,排量≤50ml,排量,69494.0
